,Simbol,% 1h,% 2h,% 7d
1238,RICHX,?,?,?
1239,GAIN,?,?,?
1240,OMC,?,?,40.01%
1241,MG,?,?,?
1242,LTH,?,?,?
1243,PDG,?,5.40%,?
1244,NTCC,?,?,?
1245,TERA,?,3.15%,?
1246,RHFC,?,3.57%,-12.90%
1247,PI,?,21.13%,-71.47%
1248,XRY,?,?,?
1249,ETX,?,1.49%,-15.59%
1250,EXL,?,1.82%,-16.64%
1251,FID,?,?,-38.64%
1252,CTIC3,?,1.46%,-41.86%
1253,DMC,?,?,?
1254,MIU,?,?,?
1255,INF,?,?,-2.11%
