,Simbol,% 1h,% 2h,% 7d
259,CSC,-8.34%,-17.07%,-35.80%
260,XTO,-0.28%,0.34%,35.99%
261,PINK,-1.80%,-4.88%,-7.94%
262,GLD,-0.40%,5.47%,23.18%
263,BET,-0.20%,5.39%,-24.81%
264,DYN,-1.81%,1.11%,7.37%
265,PLU,0.09%,-4.26%,-16.29%
266,HEAT,-0.24%,-3.58%,-10.66%
267,RUP,-0.87%,-22.52%,125.47%
268,BCPT,1.00%,0.58%,8.09%
269,PIX,7.55%,4.85%,-7.33%
270,AIR,-0.29%,-5.06%,-26.99%
271,MYB,0.65%,10.77%,-3.77%
272,PDC,-0.40%,5.40%,-4.22%
273,MUSIC,-2.06%,-7.22%,-15.05%
274,XST,1.05%,19.55%,41.00%
275,SEQ,-1.12%,1.49%,-1.61%
276,AUR,-0.65%,0.52%,1.15%
277,VSL,0.25%,4.83%,-20.03%
278,CURE,-0.66%,-5.84%,7.22%
279,EXCL,-2.86%,2.24%,-3.20%
280,GCR,8.09%,11.55%,7.46%
281,DOVU,-3.94%,20.26%,11.21%
282,CADASTRAL,2.17%,27.15%,45.32%
283,ODN,-4.20%,-20.80%,-23.40%
284,ZRC,-0.73%,0.15%,20.35%
285,SYNX,-3.42%,23.30%,61.25%
286,BITB,0.72%,-5.72%,-14.94%
287,MOON,-1.00%,31.75%,-31.40%
288,CRB,-4.14%,-1.70%,-17.68%
289,VOISE,5.18%,21.69%,-19.99%
290,TFL,-6.34%,0.16%,-19.56%
291,CAT,-0.90%,3.61%,-13.78%
292,CVCOIN,0.65%,-17.72%,-3.46%
293,COVAL,2.25%,3.04%,18.25%
294,PTC,0.50%,6.81%,18.75%
295,GCC,0.75%,27.23%,-22.67%
296,SNRG,4.10%,12.15%,17.10%
297,POSW,-2.12%,3.06%,-8.54%
298,VIBE,-4.55%,26.95%,-12.36%
299,FLDC,0.32%,1.97%,12.82%
300,HTML5,-13.20%,-12.03%,-29.00%
301,ABY,-2.05%,-1.08%,-8.39%
302,XC,-0.39%,2.75%,-44.73%
303,NOTE,-1.21%,-4.74%,-7.84%
304,IOP,4.76%,9.26%,-10.66%
305,PASC,4.90%,1.96%,3.95%
306,SWIFT,-0.16%,-3.12%,-1.84%
307,PRO,-0.18%,-0.95%,-16.37%
308,HUSH,-0.29%,3.10%,3.30%
309,BTCZ,-0.28%,-0.90%,16.14%
310,DIME,-1.77%,-22.94%,-81.82%
311,YOC,0.88%,-1.54%,-5.11%
312,QWARK,0.87%,-6.61%,-14.03%
313,VRM,-1.63%,-17.37%,20.90%
314,DENT,-0.99%,-22.72%,-12.00%
315,BITUSD,12.10%,11.42%,12.19%
316,SCL,2.29%,-14.68%,-26.90%
317,XMY,-2.28%,0.47%,3.36%
318,EQT,-7.06%,-21.29%,-27.74%
319,ERC,-1.29%,2.51%,-2.96%
320,MTNC,10.65%,11.08%,12.83%
321,PGL,-0.28%,-19.13%,-27.98%
322,BELA,-2.01%,-4.24%,-6.65%
323,NTRN,1.97%,-9.05%,-11.80%
324,REAL,1.13%,19.64%,-5.68%
325,APX,-0.24%,1.66%,4.82%
326,TRUST,3.20%,5.41%,1.67%
327,BLITZ,2.06%,2.21%,-8.92%
328,BCO,-0.05%,-3.68%,-5.03%
329,PUT,0.41%,-23.38%,15.07%
330,HDG,-0.21%,0.22%,-40.89%
